location,date,smuggling_incident,weather_condition,geopolitical_event,terrain_type,poverty_rate,distance_to_checkpoint,population_density
Border A,2022-04-06 09:41:44,0,storm,none,mountain,10.91541208573296,16.03107811845428,263.9937195543687
Border D,2020-10-21 22:19:00,0,sunny,none,mountain,12.264869235417525,3.034929744711829,455.48935639703166
Border C,2022-01-14 01:03:57,1,clear,none,forest,43.71019299324497,12.17312341916936,234.42438109674612
Border C,2022-04-29 15:52:59,0,storm,conflict,flat,47.35302138930858,21.187198333621584,418.11098522476044
Border B,2021-01-16 18:19:12,0,clear,trade_dispute,muddy,6.1446744625450025,46.250958640542066,763.9292834043416
Border D,2022-02-21 08:06:16,1,clear,sanctions,water_body,27.596337024980482,42.56383899599648,199.1660698934376
Border C,2020-01-27 08:11:54,0,clear,conflict,mountain,30.181090860975083,43.052121232441976,605.1988124925467
Border C,2022-10-16 05:08:56,0,clear,none,forest,43.262265345412345,23.065049400464627,484.10646311720024
Border C,2022-09-21 02:13:51,0,rain,none,flat,28.83564758523723,14.46646291786479,68.89195762203056
Border D,2020-11-13 15:28:32,0,rain,trade_dispute,forest,27.07421632397342,33.44537049758895,537.247537134791
Border D,2021-09-24 08:46:35,0,fog,sanctions,water_body,5.899960143106249,24.10062814433203,762.4721137552095
Border A,2021-12-13 07:03:34,0,clear,trade_dispute,flat,31.991964157700583,44.07785086988909,634.9433728021097
Border D,2020-02-04 19:22:48,0,storm,conflict,mountain,40.943255576733506,21.60896714291975,501.2561509446181
Border B,2020-07-22 05:56:18,1,fog,trade_dispute,forest,9.29582907016334,17.35308248881351,715.6072853157921
Border A,2022-11-07 20:26:15,0,rain,none,water_body,5.335362304083646,20.945920856655743,363.7182265050261
Border C,2021-03-20 05:27:14,0,storm,trade_dispute,muddy,13.40789526465444,17.3211086498665,338.96783598096835
Border B,2020-02-17 09:41:12,1,clear,trade_dispute,forest,46.65594921778924,28.59227512922985,656.083899841575
Border D,2020-04-24 08:55:32,1,sunny,none,flat,15.301586159058456,9.161816325660611,251.04551507710752
Border C,2021-05-29 14:18:47,1,clear,trade_dispute,flat,8.99151208282652,20.04429706150978,980.5704803247547
Border D,2020-11-08 20:38:23,0,storm,conflict,mountain,16.593938633792256,6.695410312062402,555.3957666263246
Border B,2020-05-23 10:07:11,1,storm,sanctions,mountain,43.0347683177462,15.907863284542348,397.12865292083694
Border D,2021-09-12 13:15:36,1,storm,conflict,forest,16.848418331467478,4.331822553811137,239.84174404476622
Border A,2022-05-28 00:41:07,1,storm,sanctions,water_body,32.035151605532775,19.614696787363915,294.6333306146699
Border C,2021-09-16 01:12:26,0,storm,sanctions,muddy,5.866795415346881,17.963305807446115,754.9950761797149
Border A,2020-09-05 00:58:32,0,fog,conflict,flat,29.182260862683766,30.83816017194745,676.8039154310063
Border B,2020-01-05 08:36:22,0,sunny,trade_dispute,water_body,33.39452652978554,49.232769658991515,251.8430048277345
Border B,2022-07-21 21:27:18,0,storm,trade_dispute,mountain,44.42300577381252,45.58112692360303,420.15212324392326
Border B,2021-04-28 08:48:03,0,storm,none,flat,28.203517463215036,42.366189463547535,382.9338728512763
Border B,2022-08-28 23:55:46,0,rain,trade_dispute,forest,31.951806803575693,36.51833043353584,879.2489525153458
Border D,2022-11-14 23:13:55,0,fog,none,water_body,25.36799022094269,5.54651115050763,822.4503848088392
Border A,2020-12-17 02:52:15,1,sunny,trade_dispute,flat,40.48098423160435,27.351532047446575,192.38663201295074
Border C,2021-10-04 14:04:13,0,storm,sanctions,forest,12.105637050093975,8.492036967303052,19.74906945346512
Border C,2022-07-25 07:37:26,1,sunny,trade_dispute,flat,21.787707196006043,24.345651885187188,848.7304426134314
Border D,2022-03-03 18:15:19,0,storm,sanctions,water_body,5.603668024765029,41.28862305879177,274.7497364908677
Border B,2022-04-12 06:25:23,0,rain,trade_dispute,flat,33.15914366165066,44.70035781394275,164.47935933153886
Border D,2022-03-14 06:52:05,1,rain,trade_dispute,flat,29.513541591868943,6.560493992679689,957.2989769444856
Border D,2022-07-02 05:20:07,1,sunny,sanctions,muddy,37.78892649729018,39.59689187808567,361.03720171750547
Border A,2021-07-08 06:57:16,0,sunny,none,muddy,5.7500209354691085,8.221428434269859,46.94019616632025
Border D,2021-09-03 01:14:13,0,fog,conflict,flat,49.63306276674028,22.84403462512063,505.6147658870327
Border D,2021-06-05 05:06:08,0,sunny,trade_dispute,water_body,46.44760883557464,35.5881923380973,216.31999765303846
Border D,2021-04-18 09:30:14,0,storm,conflict,forest,24.35653058968378,9.890880016264502,802.002562673491
Border C,2021-09-05 07:40:37,1,sunny,none,flat,24.856922238136224,35.998123580202474,178.60677887565228
Border D,2022-11-14 00:28:57,0,sunny,conflict,mountain,37.59482244657924,13.4605514235107,949.9585795371412
Border C,2020-12-28 15:07:18,1,rain,sanctions,flat,32.15655801902486,39.23455512437544,665.7820161746723
Border C,2021-09-02 05:57:00,0,clear,none,forest,21.246655546603694,25.403914807700584,918.9773817997162
Border C,2022-04-07 05:05:10,0,fog,sanctions,muddy,16.700323248064812,11.415222528391515,161.49127169670183
Border D,2022-03-09 15:48:31,1,storm,conflict,flat,41.47752729335092,30.01819400431929,127.45803821881702
Border B,2020-01-08 15:35:40,0,clear,none,water_body,21.04679375855256,7.76237442688058,148.01659029488837
Border D,2022-07-13 11:01:13,0,rain,none,flat,42.86390716668821,41.116271530641555,643.8595366481352
Border B,2021-03-24 13:14:47,1,rain,sanctions,forest,36.38722237111258,20.16124996219434,48.74223364856583
Border C,2022-12-19 23:23:44,0,fog,sanctions,mountain,11.24644923037414,13.299637317510188,403.8605886950567
Border B,2020-08-30 01:45:59,0,rain,sanctions,forest,46.02831825077145,16.39518621315645,901.33135215619
Border C,2020-08-07 02:39:19,0,sunny,none,forest,20.104741644626294,21.746260613239265,233.14835610507845
Border B,2020-08-08 02:29:33,1,sunny,trade_dispute,mountain,11.362118305610089,4.626568052380162,543.6354103371231
Border B,2021-07-07 20:42:35,0,clear,trade_dispute,mountain,10.133358312959427,15.11259653223622,434.6157804801037
Border A,2021-08-07 19:20:26,0,sunny,sanctions,forest,31.04232071932328,17.386342042573304,913.3163560239157
Border C,2020-06-21 22:14:52,0,fog,none,muddy,44.04441978714411,27.422358764419254,838.9844137980385
Border D,2020-06-29 08:43:26,0,sunny,sanctions,forest,26.362737510023738,34.340013059131806,697.7987111391841
Border B,2021-09-04 03:27:58,0,sunny,trade_dispute,flat,31.27376916667358,12.28404230140383,629.5041281304827
Border B,2022-06-12 22:08:18,0,clear,sanctions,water_body,32.31544005710924,25.83600638925954,326.6307478485707
Border D,2022-12-11 21:31:42,0,storm,sanctions,flat,39.38029214810848,28.01536191826438,933.5207782744578
Border B,2020-10-26 17:57:41,0,storm,sanctions,,45.590437111297206,44.99791983100003,478.54001730728845
Border B,2020-09-07 22:59:46,0,rain,sanctions,mountain,16.54847834421775,28.987892766628853,654.8267580704526
Border D,2020-07-02 19:28:18,0,storm,conflict,flat,41.59377353814183,32.73283359426476,480.01677073021943
Border C,2021-05-07 19:18:17,0,rain,conflict,water_body,15.388345122048388,34.97303646424724,480.36702577341424
Border C,2021-01-26 23:43:44,1,clear,none,water_body,11.575298571295251,37.624166195635,667.8159893381512
Border C,2022-01-21 06:05:59,1,clear,none,flat,34.25737871913715,37.24062461511579,894.4680761886912
Border A,2022-07-31 16:06:08,1,sunny,sanctions,flat,31.878662299256437,40.10149192749847,465.08336489999516
Border A,2022-11-17 12:52:53,0,sunny,none,flat,31.413131782429847,20.200899615493476,426.62615849672994
Border B,2021-06-12 01:11:37,1,rain,trade_dispute,flat,19.639458884996934,43.47026205537353,461.2737568260058
Border A,2021-08-03 05:33:46,0,sunny,none,water_body,21.977999092737683,8.386620882415086,15.895966773909963
Border C,2021-02-20 20:28:39,0,storm,trade_dispute,water_body,39.64839195169414,1.4329503985586696,912.081888807961
Border C,2021-04-10 06:23:07,0,fog,none,muddy,32.23870855549281,34.47972776769977,662.1675885867337
Border A,2021-01-24 19:50:15,0,rain,none,mountain,26.58020771086533,27.722451526390337,350.06220631541754
Border A,2020-03-09 10:21:01,1,storm,sanctions,muddy,35.993970332954284,41.58197842203728,234.86062455394566
Border A,2022-03-15 10:20:50,0,rain,none,muddy,8.204855129271483,6.787579675169939,827.7716522629368
Border D,2021-06-02 10:49:09,0,storm,none,mountain,41.808133433891186,46.66948341999501,969.0753324346566
Border A,2020-07-02 21:29:52,0,sunny,sanctions,mountain,31.977996389131246,17.292374417707595,52.536166998534895
Border D,2022-02-18 01:48:34,1,rain,sanctions,water_body,36.4607595425834,29.002675228224568,780.9806483347095
Border B,2020-12-11 01:11:13,1,clear,none,forest,21.897202105666647,27.469057544056717,335.0288191485638
Border D,2021-09-09 13:07:30,0,fog,none,forest,40.56850228656319,46.48556636772064,259.1399081356424
Border A,2021-11-02 07:07:15,0,fog,sanctions,muddy,37.43009377310271,18.064127756512377,504.36093372094797
Border A,2021-02-20 22:06:19,1,fog,trade_dispute,flat,15.830584558671884,42.16973251982967,927.6173952237041
Border A,2022-02-10 04:59:06,1,sunny,trade_dispute,water_body,6.462442321634653,13.992269758309464,42.152691899050566
Border B,2022-04-14 22:11:47,0,clear,sanctions,muddy,9.72940403048845,48.78121626334056,699.1482919168388
Border A,2022-05-07 10:23:44,0,storm,conflict,flat,44.22138476393724,7.692435057747582,769.7806909163014
Border A,2021-07-24 16:39:39,1,clear,none,flat,49.5175139810361,15.437913914895901,870.6138378329651
Border B,2020-07-24 17:14:36,1,rain,sanctions,muddy,35.34038567072045,10.584016573022808,308.74454641692705
Border C,2022-08-01 15:52:01,0,clear,sanctions,water_body,15.532465807776445,33.63965748084535,346.0296463550515
Border B,2021-10-25 03:21:47,1,clear,conflict,muddy,8.733475566922005,11.707256717852363,120.42098909813551
Border C,2021-11-04 11:07:46,0,rain,none,water_body,49.08314592423574,24.414236114014663,523.0517455595588
Border C,2020-10-15 13:46:09,0,clear,none,water_body,29.17832133237655,44.58884371901934,817.6125526733093
Border D,2020-04-24 05:32:16,1,clear,conflict,forest,29.035908810997007,27.50122129107367,465.41756915863857
Border A,2022-02-11 11:27:25,0,rain,conflict,water_body,38.840308999779566,12.724985130672978,308.9707164644059
Border A,2022-01-09 04:56:58,0,storm,sanctions,forest,46.272362698504665,27.365569318028616,151.7866253900713
Border A,2020-09-16 23:10:23,0,sunny,conflict,forest,5.70598807030181,28.68893780241267,945.6347880019655
Border C,2020-07-24 08:29:56,1,clear,trade_dispute,water_body,27.64233607815074,35.62934062571308,948.0919240277636
Border C,2021-06-28 22:47:00,0,rain,sanctions,forest,9.596687969396104,7.558036711411038,400.57136447647594
Border D,2022-03-22 16:25:34,0,rain,conflict,water_body,23.34189590990203,39.761696354286244,502.3160334452156
Border B,2020-12-20 19:40:35,0,sunny,trade_dispute,forest,47.62802504717027,4.933619710277432,734.1802784569054
Border B,2022-04-12 01:45:09,0,storm,sanctions,mountain,35.843441115786376,1.3443902472333686,53.0242322527767
Border D,2021-04-15 15:09:28,0,fog,trade_dispute,muddy,7.185924298782265,3.285020631515482,249.40194552862803
Border A,2022-08-30 08:38:21,0,sunny,conflict,flat,22.622542286445725,42.896543911671344,976.3860636415071
Border C,2020-09-25 13:15:35,0,clear,sanctions,flat,6.543662096250287,1.4997307992008055,578.8174858078635
Border D,2021-10-12 11:25:57,0,rain,trade_dispute,water_body,14.64240058052005,6.129307599041187,162.60622046115606
Border C,2022-10-17 01:34:16,1,rain,conflict,water_body,19.95506473938876,49.673250215377195,157.89093299082123
Border A,2021-01-12 16:58:15,1,clear,none,forest,17.64483287141939,18.702519105228728,963.1198816113869
Border D,2020-02-18 23:17:18,1,storm,sanctions,forest,48.49220827093494,5.255710996324174,596.9879223049768
Border A,2021-10-26 19:01:41,1,fog,none,muddy,41.07797677236161,1.3370880407900492,744.5344011987034
Border C,2020-07-28 14:31:15,0,storm,sanctions,water_body,11.647819837228045,29.04813578155434,326.65212738037434
Border C,2022-06-04 19:58:11,0,sunny,trade_dispute,forest,14.55233732301653,20.8731931796691,382.93275027343606
Border A,2020-10-03 14:01:25,0,sunny,trade_dispute,water_body,25.99930643634964,41.362701433060906,945.8545293359189
Border C,2020-01-22 05:27:51,0,rain,conflict,water_body,15.316162286142205,47.15861508403678,415.87922344056835
Border C,2021-04-11 03:01:08,1,rain,none,forest,41.512598205224975,9.207997872055289,612.9248063787147
Border A,2020-11-26 03:27:03,1,fog,trade_dispute,muddy,6.811430272883996,31.693402044949803,36.0972182742507
Border B,2020-08-06 22:24:16,0,sunny,trade_dispute,muddy,5.211298779456225,10.086083562146763,191.0622459004482
Border C,2022-04-19 21:45:41,0,rain,trade_dispute,forest,11.2119602103485,39.08795408619849,764.2891164385694
Border A,2022-08-15 21:19:22,1,storm,trade_dispute,water_body,18.217724879084376,7.392981468069236,797.6696117405806
Border B,2022-01-03 09:54:48,1,clear,conflict,muddy,26.597694639987836,16.781913015307772,832.0628781182813
Border A,2022-04-14 10:03:45,1,sunny,sanctions,flat,18.741393450473012,9.302475474116203,109.50347821294748
Border D,2022-03-06 16:43:41,0,fog,trade_dispute,muddy,31.181300781359994,31.108088188490935,461.0980037646777
Border C,2022-11-06 15:12:04,0,fog,sanctions,forest,10.702751552417913,9.278856644130903,370.3364331778983
Border B,2021-10-20 01:30:32,0,,sanctions,muddy,43.88559261865781,37.74065204666328,898.1911973728614
Border B,2022-12-15 03:30:12,0,fog,trade_dispute,water_body,18.108612377319226,24.999404357682085,970.1809400295392
Border C,2020-01-14 16:03:19,1,rain,trade_dispute,mountain,16.459753134405776,32.44093876463415,659.5853586053753
Border A,2021-06-26 12:33:13,0,clear,trade_dispute,mountain,23.510212471855667,18.401652499972787,69.95456734372958
Border A,2022-10-28 03:34:26,0,rain,conflict,flat,8.430514651329505,34.24671833069799,962.6278729010162
Border D,2022-05-30 08:27:23,0,fog,none,muddy,8.167247846507333,33.22751266022106,522.4985635039933
Border B,2021-03-10 00:59:10,0,sunny,sanctions,flat,41.9623890776211,19.458425561361057,591.3884915166673
Border D,2022-11-04 20:09:53,0,sunny,sanctions,muddy,35.996255636024244,29.7920876723772,198.79931394012053
Border D,2021-09-16 09:55:58,1,rain,none,water_body,31.655534415257573,37.41637069338783,296.8155622035375
Border C,2022-06-18 05:56:08,0,storm,trade_dispute,muddy,13.10110825296234,42.76631168642724,237.00059713700153
Border B,2020-11-03 11:41:33,0,storm,none,forest,26.657249487381335,1.2645286992560423,985.6294209825154
Border C,2021-11-27 14:43:46,1,storm,trade_dispute,water_body,47.066870639409174,41.432189418006395,82.17721896179178
Border C,2022-03-13 16:19:06,0,clear,conflict,forest,11.903150510354148,31.116071554333786,699.6619469737232
Border D,2022-10-18 02:07:50,1,fog,sanctions,flat,35.17213704980982,37.045161835727384,790.9846290133177
Border D,2022-12-17 16:12:36,1,storm,conflict,flat,11.903250821473549,30.67139629159607,678.641010473496
Border D,2022-05-22 16:52:54,0,clear,sanctions,water_body,42.95192984594607,1.98128795797837,458.5854964695046
Border A,2020-02-26 15:20:36,0,storm,conflict,forest,22.541497565795492,5.421588300655328,422.7172646039755
Border A,2021-08-22 08:19:09,0,fog,sanctions,flat,16.614273001493185,28.5077817789899,904.0654832692029
Border A,2022-08-15 07:22:45,0,clear,trade_dispute,mountain,8.334566226661305,17.759815377866904,965.2660102621144
Border A,2021-09-19 00:36:45,1,fog,conflict,mountain,24.184352669922127,2.0835324540369324,423.537646722737
Border A,2022-05-06 03:36:02,0,storm,trade_dispute,mountain,39.883852342923774,3.139479689652832,195.87040546227857
Border B,2021-11-20 14:35:22,1,sunny,sanctions,water_body,32.03470383382543,22.930390034925193,676.610170995856
Border B,2022-06-14 23:57:22,0,fog,sanctions,muddy,39.52592424046193,28.765618135696158,576.1966039033442
Border B,2022-06-05 11:04:47,1,clear,sanctions,muddy,42.38273348075319,1.3712074909518308,495.0398734743668
Border D,2021-03-08 02:51:19,0,clear,conflict,muddy,20.22575091339022,21.61319220205689,685.610666622148
Border C,2020-01-28 18:12:07,0,fog,trade_dispute,flat,8.203289241243997,10.349024293262577,174.39280406695832
Border C,2022-12-13 10:53:14,0,fog,trade_dispute,forest,49.58834099318578,17.822445251035457,700.784819427198
Border D,2021-08-19 21:21:48,1,storm,conflict,muddy,36.678782205126026,31.133581605189253,612.0826186992026
Border C,2022-11-29 11:34:38,0,storm,conflict,forest,28.14256463397888,28.77984489336872,467.5017335787517
Border B,2022-09-01 13:40:16,0,fog,none,muddy,11.739872444861241,4.878091211173798,336.78389138710986
Border D,2022-12-02 10:45:24,0,clear,trade_dispute,forest,16.101967632212116,44.668811642278094,383.335832801738
Border C,2020-05-08 16:21:12,1,storm,conflict,water_body,15.688453236769023,9.108071408890337,143.4162745467811
Border C,2022-08-20 07:34:24,0,storm,none,forest,38.59289943722395,21.898034413751088,137.60634389050418
Border A,2022-09-17 05:38:03,1,sunny,sanctions,water_body,45.44395377031252,11.171506400523542,349.7418427457291
Border C,2020-07-28 19:18:11,1,sunny,sanctions,muddy,39.033970240172124,30.588823750576545,894.2904692969373
Border D,2020-05-24 12:20:17,0,sunny,none,forest,38.1646305132644,22.745880398196565,65.82003737743757
Border B,2020-05-23 12:19:05,1,storm,conflict,water_body,12.294163613958528,10.36340898430367,702.86375596506
Border B,2021-08-02 12:04:11,0,storm,none,muddy,14.659672587594038,42.34790204075398,418.1947347854118
Border D,2022-06-25 16:49:24,1,rain,none,water_body,30.77397750558008,6.881857122297124,947.8449553415307
Border D,2022-01-17 20:25:02,0,clear,conflict,muddy,7.102862448500322,39.3713599173043,398.7783747393965
Border D,2022-02-24 10:19:32,1,fog,conflict,muddy,6.340338599272649,2.8316102104108207,211.66864396102923
Border C,2020-02-17 03:13:54,0,storm,conflict,mountain,22.349212074053053,10.692357269588383,958.1533729859536
Border D,2022-01-17 01:27:56,1,clear,none,mountain,20.832908865088314,31.12328484375558,352.9003496408696
Border D,2021-10-17 07:35:30,0,clear,trade_dispute,muddy,21.856181442209806,40.84779886153956,375.6882452867099
Border C,2021-02-18 07:05:34,0,sunny,none,flat,30.523126863231134,22.063228264638337,861.4923699773511
Border C,2022-02-27 15:03:28,1,rain,trade_dispute,muddy,40.16989490263093,18.94827716829183,967.6471976631783
Border C,2021-03-22 09:56:52,1,sunny,none,forest,6.321283972525086,31.827664562168376,166.85154001610115
Border A,2022-06-27 15:06:43,0,fog,sanctions,muddy,33.154357428071464,38.380650069679305,158.78317732369507
Border C,2020-03-30 21:09:36,1,clear,conflict,muddy,37.70476204440956,7.391122270905001,307.02358629601343
Border A,2021-07-06 07:18:02,0,rain,conflict,muddy,19.983554517682748,49.74306053208698,349.7665746021596
Border C,2021-11-07 07:03:01,0,fog,none,muddy,20.882257653863718,23.225677229013723,235.78767404227776
Border D,2022-11-17 17:47:57,0,storm,conflict,flat,5.623710317495766,10.78694831499961,720.8168761726067
Border C,2020-11-10 08:04:46,1,sunny,sanctions,flat,27.885637963149097,25.078706235184246,98.4524215460204
Border A,2020-04-08 11:01:56,0,sunny,conflict,muddy,9.442400146376759,26.64297494719506,217.61419868231357
Border D,2020-07-01 22:29:58,0,fog,conflict,forest,35.55203412962793,4.018190292742861,325.5747179841677
Border B,2022-01-21 12:13:35,0,storm,conflict,mountain,10.827195236047325,21.898219588495074,157.2144943162886
Border A,2022-10-25 17:08:10,1,rain,conflict,flat,22.812457456897793,9.938859805389612,992.5236638098306
Border A,2022-10-24 20:58:59,1,rain,conflict,muddy,15.595507236822097,29.529258048630044,231.67644145467088
Border A,2020-11-04 00:19:23,1,clear,trade_dispute,mountain,18.012124823909343,19.56634333725522,249.22171588163815
Border D,2020-07-03 14:09:25,1,sunny,trade_dispute,forest,9.254432080822639,39.371648644145914,469.87401404194657
Border C,2022-10-12 23:05:27,0,fog,none,water_body,23.747152515362977,14.932375521620736,50.642324064499505
Border D,2021-11-28 20:48:55,1,storm,trade_dispute,flat,47.26650821085522,32.305800464618294,251.31655470595473
Border C,2022-01-25 04:21:17,0,fog,sanctions,forest,22.1408799931941,16.92833241084524,238.7719023742401
Border A,2021-09-26 18:16:02,0,sunny,conflict,water_body,39.11271685344724,5.019393948153297,692.9553470215586
Border C,2022-09-28 14:07:40,0,fog,none,flat,46.4150897874371,27.016322564824193,299.99057100057433
Border A,2021-02-25 22:59:35,0,clear,conflict,flat,19.0046810173463,39.427711804599625,921.0583782214538
Border A,2020-07-26 16:43:39,1,sunny,conflict,muddy,9.305927208236728,22.49553941842927,628.7008080478226
Border C,2020-07-15 13:41:34,0,storm,none,flat,28.019492946303124,36.383970034973835,386.46659683856984
Border A,2022-11-14 00:14:41,0,rain,conflict,water_body,49.569057216444634,32.76253330458179,616.1149260586417
Border D,2020-08-23 09:43:09,0,storm,sanctions,forest,16.907704283618855,38.09003041010702,482.58411526675326
Border A,2020-09-15 01:35:40,0,storm,conflict,water_body,7.04363211164819,21.748907759123835,940.0042636659492
Border C,2020-01-18 11:16:37,1,storm,sanctions,muddy,36.44681068210916,1.4420062095084114,537.1334114738481
Border B,2020-10-13 19:07:07,0,storm,sanctions,water_body,45.64626286820386,22.16080028484754,690.4993060968303
Border C,2020-02-21 17:27:31,0,storm,sanctions,forest,21.100175165512955,45.917810375084805,878.5933556515906
Border C,2022-11-27 10:45:58,1,rain,none,flat,47.61993365997755,41.73321484534317,949.0915781109759
Border A,2021-11-15 17:41:15,0,storm,none,forest,11.022419651619025,7.791095485616868,792.9397220382356
Border D,2022-09-27 11:44:41,0,rain,sanctions,forest,14.815423848266828,7.4028998799201915,719.3330498568793
Border D,2020-12-03 12:43:33,0,rain,none,muddy,26.236262322954016,20.010196693001724,546.4712189551882
Border B,2022-06-21 14:38:43,1,storm,trade_dispute,flat,42.09767138456007,47.645218605779924,791.0436147670057
Border B,2020-09-11 08:59:41,1,storm,conflict,mountain,24.953485395072335,1.495675844623797,205.06647752729174
Border B,2021-08-17 05:40:20,0,fog,sanctions,muddy,23.946224403736952,29.79365457721727,388.2342925731669
Border B,2022-10-06 06:29:04,0,clear,sanctions,flat,27.697177604971273,46.46571309292751,701.4406783762864
